event_date,member_id,campaign_product,campaign_cosa,converted_product,converted_cosa,campaign_nm,conversion_channel_nm,quote_start_qty,quote_complete_qty,app_start_qty,app_complete_qty,prod_acq_qty,impression_qty,click_qty,campaign_funding_source
2025-03-07,Mjc1OTMwNDk=,Consumer Loans,P&C,Consumer Loans,Bank,Bank_Credit Card_Campaign_2,Offline,44,37,29,16,Paid Social,90,71,P&C Auto Insurance
2025-03-03,NTMzMDc1MjI=,Consumer Loans,P&C,Auto Insurance,Bank,Bank_Credit Card_Campaign_1,Mobile,46,34,29,10,Direct Mail,99,61,P&C Credit Card
2025-02-03,MjAxODIzMjM=,Renters,P&C,Renters,Bank,P&C_Homeowners_Campaign_1,Internet,42,32,20,13,Direct Mail,185,73,Bank Renters
2025-03-14,OTg5MTIzMjM=,Homeowners,P&C,Consumer Loans,P&C,Bank_Credit Card_Campaign_2,Internet,41,32,27,19,Paid Social,180,70,P&C Renters
2025-02-20,MjczMDc2OTI=,Renters,P&C,Renters,P&C,P&C_Auto Insurance_Campaign_2,Internet,41,31,23,19,Email,179,79,P&C Credit Card
2025-04-13,ODU5NDY2OTM=,Consumer Loans,Bank,Deposits,Bank,Bank_Deposits_Campaign_1,Offline,41,35,25,16,Paid Social,96,61,Bank Deposits
2025-04-28,NDY0MDQ5MjQ=,Homeowners,Bank,Deposits,Bank,Bank_Deposits_Campaign_1,Internet,42,39,26,18,Paid Social,117,66,Bank Renters
2025-02-12,MzAxNzIwMDc=,Consumer Loans,Bank,Homeowners,Bank,P&C_Auto Insurance_Campaign_1,Mobile,45,34,24,11,Email,128,67,Bank Deposits
2025-03-22,NzAxNzMwNjU=,Renters,P&C,Homeowners,Bank,Bank_Consumer Loans_Campaign_2,Internet,45,36,24,16,Paid Social,176,73,Bank Credit Card
2025-04-29,MTU5OTAyNTk=,Auto Insurance,Bank,Credit Card,Bank,P&C_Auto Insurance_Campaign_1,Offline,49,38,27,13,Email,95,70,Bank Deposits
