member_id,age_grp,marital_status,state
NzY5MzQ0MzM=,25-34,Widowed,Texas
Mjg4NDkxOTk=,65+,Married,Florida
Mjc4NjY3Nzk=,55-64,Divorced,Texas
OTYxNjg2Nzg=,55-64,Divorced,Florida
NzMxMzQyMjE=,65+,Married,California
MzQ1NTA2NDk=,45-54,Married,Florida
NjA2NTQ0MjA=,65+,Divorced,California
MTM2NzI0ODA=,55-64,Married,Florida
NTk0MDc0MzU=,35-44,Married,California
ODMwNzcyMTc=,25-34,Single,California
MzMyNDY5MTE=,18-24,Widowed,California
NDQwNTAzMjA=,18-24,Married,New Mexico
ODIzMDk4Mzk=,65+,Married,Florida
Mzk3NTQxMjE=,25-34,Widowed,Florida
OTUyMTE4MTg=,45-54,Single,Florida
OTU4NjgwMTM=,45-54,Single,New Mexico
Mzk1MjY3NjU=,18-24,Divorced,Texas
MzUwMjE1MjE=,35-44,Widowed,Texas
ODUzMDIwMDA=,45-54,Widowed,New Mexico
MTkyMTY5NzI=,35-44,Widowed,Florida
OTk1NTQ2Mjg=,65+,Widowed,Texas
NjI2NjUxNTM=,35-44,Single,New Mexico
MTAxNzM4OTg=,65+,Widowed,Texas
MTQxODA4NzA=,18-24,Divorced,California
MzQ1MzI4NDU=,55-64,Divorced,Texas
MzAxNzIwMDc=,18-24,Widowed,Texas
ODI3NTYzOTM=,45-54,Married,Texas
MzQxOTk3MDY=,35-44,Single,New Mexico
ODI3NTQyMjU=,18-24,Widowed,New Mexico
ODIzMTgxNzQ=,55-64,Widowed,New Mexico
NzAxNzMwNjU=,18-24,Married,California
NTg1MTU4NzI=,25-34,Single,New Mexico
NDQ3OTM5Mjg=,55-64,Married,Florida
MTIwMzc4ODM=,25-34,Widowed,Texas
NDU5NTI4MzQ=,55-64,Divorced,California
ODI1NjMwMjE=,18-24,Single,New Mexico
MjAxODIzMjM=,55-64,Married,California
MTQ4MDU0NTA=,45-54,Divorced,Texas
Njg4MzMxNTE=,45-54,Widowed,Florida
NjQ3MjI1MjE=,45-54,Single,California
Mjc4MjkzMzI=,65+,Single,New Mexico
MzE1MDgyMTQ=,18-24,Single,California
NjA3NTkzOTE=,35-44,Divorced,Texas
NjM4MzEzNzU=,18-24,Married,California
NDg2NTU1MTc=,65+,Divorced,Florida
ODcwNTgxODA=,25-34,Married,Florida
NzIzOTY1ODU=,35-44,Widowed,Florida
ODU5NDY2OTM=,35-44,Single,New Mexico
NTA3MjQ2OTQ=,25-34,Divorced,Texas
ODM5MzcyNDA=,45-54,Single,California
NDY0MDQ5MjQ=,45-54,Married,New Mexico
NjQxNTA2NDg=,65+,Single,New Mexico
MjgxNDcxNzQ=,18-24,Divorced,New Mexico
NjUyMzg4NTY=,55-64,Divorced,Texas
ODUxODExNTQ=,65+,Divorced,California
OTgwMzY3NTY=,18-24,Divorced,California
NDczNjA2ODU=,65+,Married,California
MzE2NTE2MzU=,18-24,Married,California
MTIxMzg1NDI=,45-54,Married,Florida
MzY3ODc0OTE=,35-44,Divorced,California
Mjc1OTMwNDk=,25-34,Married,New Mexico
NTMzMDc1MjI=,18-24,Single,Florida
NjgwMTM0MTg=,18-24,Single,Texas
Njc0NTQzODg=,55-64,Widowed,California
Njk3NDM0MTc=,35-44,Divorced,New Mexico
ODg0MzM4NDM=,45-54,Divorced,New Mexico
ODgxMzMzMzU=,18-24,Married,California
MTMyNzI1NjE=,45-54,Widowed,New Mexico
NDQ0MTQ1Mjk=,65+,Married,Texas
MTgxMjEyMzc=,18-24,Single,California
MTc5NzMxMTY=,65+,Widowed,Texas
MjUzMzM3Mzc=,65+,Divorced,Florida
NDQ5MDI5NTU=,45-54,Widowed,Florida
NzEyMjY1Mjk=,25-34,Divorced,New Mexico
ODMzMzg0Nzk=,25-34,Widowed,New Mexico
MTE4NzEwNjk=,55-64,Married,Texas
Mzc4OTQzNTM=,55-64,Divorced,California
NzcxMTEwOTU=,65+,Married,Florida
ODIxOTE0NzA=,18-24,Widowed,California
OTQ0Mjk1OTQ=,55-64,Divorced,Florida
OTQ4NzY4Mzg=,25-34,Married,Florida
ODcwNTAyNzM=,25-34,Single,Florida
ODUyNzIxNDY=,35-44,Married,New Mexico
OTQzMTY0MjY=,25-34,Widowed,California
MTU5OTAyNTk=,55-64,Divorced,Florida
MTEwNDU4MTY=,25-34,Single,Florida
MjczNDEwMTA=,65+,Married,Florida
NzcyNTc1MzQ=,25-34,Divorced,Florida
MTc4MjIwOTM=,55-64,Divorced,New Mexico
MjQ1NDg3ODk=,18-24,Widowed,California
NTk2ODA3MDg=,25-34,Divorced,California
MjExMTc4NzU=,55-64,Single,California
MTM0NDQxMjM=,35-44,Widowed,New Mexico
OTg5MTIzMjM=,35-44,Married,California
MjczMDc2OTI=,25-34,Married,Texas
MzgwNzAzMjM=,25-34,Widowed,Texas
MzY5MTMxMzM=,65+,Widowed,Texas
NzMwMDU0MTM=,35-44,Divorced,Florida
Nzk2MDI2ODE=,65+,Single,Texas
NDU5ODQzNDE=,18-24,Widowed,Texas
